,content,score,appVersion,content_process,result,sentiment,proba
1046,Agak lebih aja dari 1mgg ga dibuka aplikasinya..pasti minta update... bolbal gitu ajaaahhh... kenapa sih??,3,1.3.8,agak lebih aja dari  mgg ga dibuka aplikasinya  pasti minta update    bolbal gitu ajaaahhh    kenapa sih  ,"[{'label': 'negative', 'score': 0.9980060458183289}]",negative,0.9980060458183289
1047,BANK ANEH NJIRRR PARAH,1,1.3.8,bank aneh njirrr parah,"[{'label': 'negative', 'score': 0.9994205236434937}]",negative,0.9994205236434937
1048,"Aplikasi apa ini,daftar gak bisa,masuk gak bisa,masukan nmor kartu trus setelah itu gagal terus.ngabisin pulsa aja",1,1.3.8,aplikasi apa ini daftar gak bisa masuk gak bisa masukan nmor kartu trus setelah itu gagal terus ngabisin pulsa aja,"[{'label': 'negative', 'score': 0.9958815574645996}]",negative,0.9958815574645996
1049,"Setelah saya upgrade ke Samsung Galaxy S23 Ultra, HP saya terdeteksi sebagai di-root dan saya tidak bisa menggunakan aplikasi.",2,1.3.8,setelah saya upgrade ke samsung galaxy s   ultra  hp saya terdeteksi sebagai di root dan saya tidak bisa menggunakan aplikasi ,"[{'label': 'neutral', 'score': 0.9966298937797546}]",neutral,0.9966298937797546
1050,Setelah update kenapa aplikasi tidak bisa di buka ya,1,1.3.8,setelah update kenapa aplikasi tidak bisa di buka ya,"[{'label': 'neutral', 'score': 0.8373754620552063}]",neutral,0.8373754620552063
1051,Kok apk saya g bisa di buka ya ada bacaan di root itu apa ya,2,1.3.8,kok apk saya g bisa di buka ya ada bacaan di root itu apa ya,"[{'label': 'neutral', 'score': 0.6731407642364502}]",neutral,0.6731407642364502
1052,Habis di update malah ga bisa dibuka!!!,1,1.3.8,habis di update malah ga bisa dibuka   ,"[{'label': 'negative', 'score': 0.9121544361114502}]",negative,0.9121544361114502
1053,Bgs,5,1.3.7,bgs,"[{'label': 'negative', 'score': 0.9951316118240356}]",negative,0.9951316118240356
1054,Kenapa setelah update aplikasi ini jadi tidak bisa di gunakan?,1,1.3.8,kenapa setelah update aplikasi ini jadi tidak bisa di gunakan ,"[{'label': 'negative', 'score': 0.7702053189277649}]",negative,0.7702053189277649
1055,"Kok ga bisa di buka sih gimana gw mau ngirim uang hadeh harus repot"" ke ATM buat ngirim aja, apa gunanya aplikasi ini???;!!!!!!!???",1,1.3.8,kok ga bisa di buka sih gimana gw mau ngirim uang hadeh harus repot  ke atm buat ngirim aja  apa gunanya aplikasi ini              ,"[{'label': 'negative', 'score': 0.99774569272995}]",negative,0.99774569272995
1056,Aplikasi lemot dr tadi gau terupdate2,1,1.3.7,aplikasi lemot dr tadi gau terupdate ,"[{'label': 'negative', 'score': 0.9935513734817505}]",negative,0.9935513734817505
1057,Kenapa setelah di update kok malah ga bisa dibuka ya?,1,1.3.8,kenapa setelah di update kok malah ga bisa dibuka ya ,"[{'label': 'negative', 'score': 0.7606018781661987}]",negative,0.7606018781661987
1058,Bagus sekali mantap mksih,5,1.3.8,bagus sekali mantap mksih,"[{'label': 'positive', 'score': 0.9989328980445862}]",positive,0.9989328980445862
1059,Mau login gak pernah bisa,1,1.3.8,mau login gak pernah bisa,"[{'label': 'neutral', 'score': 0.7866159081459045}]",neutral,0.7866159081459045
1060,"Awal nya lancar²..baik2 aja..hr ini pas mau buka minta di-update..setelah diupdate malah g bisa dibuka..ada tulisan ""perangkat tidak dpt digunakan pada perangkat yg sudah dijailbreal/seh diroot..kenapa y 🥺",4,1.3.8,awal nya lancar   baik  aja  hr ini pas mau buka minta di update  setelah diupdate malah g bisa dibuka  ada tulisan  perangkat tidak dpt digunakan pada perangkat yg sudah dijailbreal seh diroot  kenapa y  ,"[{'label': 'negative', 'score': 0.9868200421333313}]",negative,0.9868200421333313
1061,Tiba tiba aplikasi gak bisa di buka padahal udh di perbaharui.🙄,1,1.3.8,tiba tiba aplikasi gak bisa di buka padahal udh di perbaharui  ,"[{'label': 'neutral', 'score': 0.54469895362854}]",neutral,0.54469895362854
1062,"Kenapa aplilasinya tidak bosa di gunakan untuk transaksi transfer dan pembelian lainnya, ?",2,1.3.8,kenapa aplilasinya tidak bosa di gunakan untuk transaksi transfer dan pembelian lainnya   ,"[{'label': 'neutral', 'score': 0.9707913398742676}]",neutral,0.9707913398742676
1063,Transaksi cepat,4,1.3.7,transaksi cepat,"[{'label': 'positive', 'score': 0.9988799691200256}]",positive,0.9988799691200256
1064,Jelek banyak fituryang kurang,1,1.3.7,jelek banyak fituryang kurang,"[{'label': 'negative', 'score': 0.9992832541465759}]",negative,0.9992832541465759
1065,Bisa dibantu kenapa setelah update versi terbaru malah tidak bisa dipakai terimakasih,3,1.3.8,bisa dibantu kenapa setelah update versi terbaru malah tidak bisa dipakai terimakasih,"[{'label': 'neutral', 'score': 0.9644060134887695}]",neutral,0.9644060134887695
1066,susah di buka,1,1.3.8,susah di buka,"[{'label': 'negative', 'score': 0.9977861642837524}]",negative,0.9977861642837524
1067,Warbiasak,5,1.3.7,warbiasak,"[{'label': 'positive', 'score': 0.9978163242340088}]",positive,0.9978163242340088
1068,"Selalu ganti ganti aplikasi .. terkadang pas mau cepat pakai harus install lagi..,",2,1.3.8,selalu ganti ganti aplikasi    terkadang pas mau cepat pakai harus install lagi   ,"[{'label': 'neutral', 'score': 0.6494943499565125}]",neutral,0.6494943499565125
1069,"Penanganan yang cepat, dan mantapp.. terima kasih",5,1.3.2,penanganan yang cepat  dan mantapp   terima kasih,"[{'label': 'positive', 'score': 0.9910163879394531}]",positive,0.9910163879394531
1070,Banking apala ini .asal diupdate sikit g bsa dpakai mst ke bank y lagi.parah,1,1.3.8,banking apala ini  asal diupdate sikit g bsa dpakai mst ke bank y lagi parah,"[{'label': 'negative', 'score': 0.9909681677818298}]",negative,0.9909681677818298
1071,Mantap,4,1.3.8,mantap,"[{'label': 'positive', 'score': 0.9991832375526428}]",positive,0.9991832375526428
1072,Oke,5,,oke,"[{'label': 'positive', 'score': 0.7234290838241577}]",positive,0.7234290838241577
1073,Aplikasinya sering Mintak up date..dan skrg nggak bisa di buka.,1,1.3.8,aplikasinya sering mintak up date  dan skrg nggak bisa di buka ,"[{'label': 'neutral', 'score': 0.6548508405685425}]",neutral,0.6548508405685425
1074,"Aplikasi belum siap rilis sudah buru² diriis, Hp saya tidak pernah root tapi kedeteksi root.",1,,aplikasi belum siap rilis sudah buru  diriis  hp saya tidak pernah root tapi kedeteksi root ,"[{'label': 'neutral', 'score': 0.7460483312606812}]",neutral,0.7460483312606812
1075,Sangat bagus dan membantu ini aplikasi..,5,1.3.8,sangat bagus dan membantu ini aplikasi  ,"[{'label': 'positive', 'score': 0.9904182553291321}]",positive,0.9904182553291321
1076,Top,5,1.3.8,top,"[{'label': 'positive', 'score': 0.9786689281463623}]",positive,0.9786689281463623
1077,Cepat prosesnya,5,1.3.8,cepat prosesnya,"[{'label': 'positive', 'score': 0.9947681427001953}]",positive,0.9947681427001953
1078,Saldo kepotong terus sama asuransi gak jelas,1,1.3.8,saldo kepotong terus sama asuransi gak jelas,"[{'label': 'negative', 'score': 0.9994713664054871}]",negative,0.9994713664054871
1079,Bagus...mempermudah transaksi....tapi....Jarang di buka sekali buka update terus...,4,1.3.7,bagus   mempermudah transaksi    tapi    jarang di buka sekali buka update terus   ,"[{'label': 'negative', 'score': 0.754351794719696}]",negative,0.754351794719696
1080,Habis update kenapa jadi tidak bisa dibuka?,1,1.3.8,habis update kenapa jadi tidak bisa dibuka ,"[{'label': 'negative', 'score': 0.8677592873573303}]",negative,0.8677592873573303
1081,Sangat membantu cuman agak berat aplikasinya...,3,1.3.7,sangat membantu cuman agak berat aplikasinya   ,"[{'label': 'positive', 'score': 0.6422208547592163}]",positive,0.6422208547592163
1082,Menggapa saya masukan paspor saya dgn benar namun tdk bisa loging mohon butu bantuannya,2,1.3.7,menggapa saya masukan paspor saya dgn benar namun tdk bisa loging mohon butu bantuannya,"[{'label': 'neutral', 'score': 0.9967591166496277}]",neutral,0.9967591166496277
1083,"Makin ribet,Mana uang tertahan d situ,Ubahlah cara buka tokennya,Masa harus pake kartu ATM Verifikasi wajah atw pake KTP,emang kita pertama daftar gk pke KTP, Kadang aturan yg kayak gini Bikin orang gk mau pake bank ini,Terlalu ribet!!",1,1.3.8,makin ribet mana uang tertahan d situ ubahlah cara buka tokennya masa harus pake kartu atm verifikasi wajah atw pake ktp emang kita pertama daftar gk pke ktp  kadang aturan yg kayak gini bikin orang gk mau pake bank ini terlalu ribet  ,"[{'label': 'negative', 'score': 0.9849787354469299}]",negative,0.9849787354469299
1084,Mantap lengkap,5,1.3.8,mantap lengkap,"[{'label': 'positive', 'score': 0.9993441700935364}]",positive,0.9993441700935364
1085,Okk,5,1.3.8,okk,"[{'label': 'negative', 'score': 0.9986894726753235}]",negative,0.9986894726753235
1086,👍👍,5,1.3.7,  ,"[{'label': 'positive', 'score': 0.7525887489318848}]",positive,0.7525887489318848
1087,Baik,3,1.3.7,baik,"[{'label': 'positive', 'score': 0.9978936314582825}]",positive,0.9978936314582825
1088,Knp aplikasi tdk bisa dibuka setelah update,2,1.3.8,knp aplikasi tdk bisa dibuka setelah update,"[{'label': 'neutral', 'score': 0.9700764417648315}]",neutral,0.9700764417648315
1089,Koq Aplikasi tdk bs Di Gunakan.,1,1.3.8,koq aplikasi tdk bs di gunakan ,"[{'label': 'negative', 'score': 0.8473917245864868}]",negative,0.8473917245864868
1090,Kenapa tidak bisa di buka setelah di perbaharui katanya perangkat di jailbreak,3,1.3.8,kenapa tidak bisa di buka setelah di perbaharui katanya perangkat di jailbreak,"[{'label': 'neutral', 'score': 0.9965031147003174}]",neutral,0.9965031147003174
1091,"Kenapa ya setelah aplikasi di update, sy gak bisa buka. Muncul pop up message box yang tertulis mengenai jailbreak / root. Mohon arahannya donk pihak danamon",3,1.3.8,kenapa ya setelah aplikasi di update  sy gak bisa buka  muncul pop up message box yang tertulis mengenai jailbreak   root  mohon arahannya donk pihak danamon,"[{'label': 'neutral', 'score': 0.9910805821418762}]",neutral,0.9910805821418762
1092,Kenapa ya kagak bisa digunakan dan masuk,5,1.3.8,kenapa ya kagak bisa digunakan dan masuk,"[{'label': 'negative', 'score': 0.976107120513916}]",negative,0.976107120513916
1093,"nomor tlpn yg terdaftar di danamon telah hilang dan saya ingin mengubah nomor teleponnya di akun danamon milik saya, bagaimana caranya untuk mengubah nomor hp yg sudah hilang untuk login?",1,,nomor tlpn yg terdaftar di danamon telah hilang dan saya ingin mengubah nomor teleponnya di akun danamon milik saya  bagaimana caranya untuk mengubah nomor hp yg sudah hilang untuk login ,"[{'label': 'neutral', 'score': 0.9956817626953125}]",neutral,0.9956817626953125
1094,Makin di update malah gabisa buka. Ini kenapa danamon aneh ya. Kalo bukan atm gaji udh gw hapus lo . Gabeguna,1,1.3.8,makin di update malah gabisa buka  ini kenapa danamon aneh ya  kalo bukan atm gaji udh gw hapus lo   gabeguna,"[{'label': 'negative', 'score': 0.998349666595459}]",negative,0.998349666595459
1095,"Aplikasinya mau di update terus, membosankan",3,1.3.8,aplikasinya mau di update terus  membosankan,"[{'label': 'negative', 'score': 0.9992075562477112}]",negative,0.9992075562477112
1096,Punya saya malah gak bisa d buka 🤦🤦,2,1.3.8,punya saya malah gak bisa d buka   ,"[{'label': 'negative', 'score': 0.9920896291732788}]",negative,0.9920896291732788
1097,"Semenjak di perbarui,aplikasinya nggak bisa dibuka?",1,1.3.8,semenjak di perbarui aplikasinya nggak bisa dibuka ,"[{'label': 'negative', 'score': 0.9971092343330383}]",negative,0.9971092343330383
1098,Riwayat transaksi tidak bisa di lihat,2,1.3.8,riwayat transaksi tidak bisa di lihat,"[{'label': 'negative', 'score': 0.7956546545028687}]",negative,0.7956546545028687
1099,"Apk apa si, kok setelah update malah gaak bisa kebuka,malah muncul tulisan jailbreak. Mendingan gak usah di update klo kayak gini😡",1,1.3.8,apk apa si  kok setelah update malah gaak bisa kebuka malah muncul tulisan jailbreak  mendingan gak usah di update klo kayak gini ,"[{'label': 'negative', 'score': 0.997703492641449}]",negative,0.997703492641449
1100,Diperbarui malah gak bisa di buka.. Kyk gini bukan ny mempermudah malah bikin ribet,1,,diperbarui malah gak bisa di buka   kyk gini bukan ny mempermudah malah bikin ribet,"[{'label': 'negative', 'score': 0.9983417987823486}]",negative,0.9983417987823486
1101,"Susah d update, mutar2 aja",1,1.3.7,susah d update  mutar  aja,"[{'label': 'negative', 'score': 0.9986956715583801}]",negative,0.9986956715583801
1102,Sebentar2 minta upgrade padahal jarang pakai ....,1,1.3.7,sebentar  minta upgrade padahal jarang pakai     ,"[{'label': 'neutral', 'score': 0.7389732003211975}]",neutral,0.7389732003211975
1103,"Dari beberapa m-Banking yang saya pakai, Punya Danamon yang paling simple.",5,,dari beberapa m banking yang saya pakai  punya danamon yang paling simple ,"[{'label': 'positive', 'score': 0.6588504910469055}]",positive,0.6588504910469055
1104,kenapa aplikasinya tidak bisa di gunakan.? padahal hp saya tidak pernah di-root atau di-jailbrek. dan setelah aplikasi eror banyak oknum penipu yang menipu nasabahnya,1,1.3.8,kenapa aplikasinya tidak bisa di gunakan   padahal hp saya tidak pernah di root atau di jailbrek  dan setelah aplikasi eror banyak oknum penipu yang menipu nasabahnya,"[{'label': 'negative', 'score': 0.9968649744987488}]",negative,0.9968649744987488
1105,"Apk nya gak bisa di buka semakin di up date apk nya semakin susah nasabah buka M Banking nya... Seharus nya semakin gampang buka semakin sulit,",1,1.3.8,apk nya gak bisa di buka semakin di up date apk nya semakin susah nasabah buka m banking nya    seharus nya semakin gampang buka semakin sulit ,"[{'label': 'negative', 'score': 0.9545218348503113}]",negative,0.9545218348503113
1106,Kocak abis update apk gak bisa di buka,1,1.3.8,kocak abis update apk gak bisa di buka,"[{'label': 'negative', 'score': 0.9952794313430786}]",negative,0.9952794313430786
1107,Sangat Bagus,5,1.3.8,sangat bagus,"[{'label': 'positive', 'score': 0.9943695664405823}]",positive,0.9943695664405823
1108,Selamat pagi saya mau tanya kenapa di perbarui D Bank pro tapi tidak bisa di gunakan?,2,1.3.8,selamat pagi saya mau tanya kenapa di perbarui d bank pro tapi tidak bisa di gunakan ,"[{'label': 'neutral', 'score': 0.9853552579879761}]",neutral,0.9853552579879761
1109,Aku mau buka bangking kok gak bisa trus ya padahal aku dah truti pembaharuan...parahhh ini sya jauh bgt k Bank Danamon karna di kampung bikin emosi jiwa,2,1.3.8,aku mau buka bangking kok gak bisa trus ya padahal aku dah truti pembaharuan   parahhh ini sya jauh bgt k bank danamon karna di kampung bikin emosi jiwa,"[{'label': 'negative', 'score': 0.9970109462738037}]",negative,0.9970109462738037
1110,Kenapa setelah di update malah semakin gak bisa di buka . Gimana sih d-bank pro sekarang,1,1.3.8,kenapa setelah di update malah semakin gak bisa di buka   gimana sih d bank pro sekarang,"[{'label': 'negative', 'score': 0.9891173243522644}]",negative,0.9891173243522644
1111,Parah ni...kenapa setelah update . malah tidak bisa masuk di hp android.. Hp tidak pernah di macam2in...di bilang perangkat di jailbreak atau di root...maunya gimana sih....telelah di unistal. Email dan password yang lama gak bisa di gunain,1,,parah ni   kenapa setelah update   malah tidak bisa masuk di hp android   hp tidak pernah di macam in   di bilang perangkat di jailbreak atau di root   maunya gimana sih    telelah di unistal  email dan password yang lama gak bisa di gunain,"[{'label': 'negative', 'score': 0.9983682036399841}]",negative,0.9983682036399841
1112,Good👍,5,1.3.8,good ,"[{'label': 'positive', 'score': 0.9981083869934082}]",positive,0.9981083869934082
1113,"Ini kenapa ya saya mau buka gak bisa , Kecewa padahal dh gak pake WiFi sama aja",1,1.3.8,ini kenapa ya saya mau buka gak bisa   kecewa padahal dh gak pake wifi sama aja,"[{'label': 'negative', 'score': 0.9989803433418274}]",negative,0.9989803433418274
1114,"Sumpah parah bangettt,,,aku ga ada ATM nya sering pake d bank pro buat transaksi pas di update malah ga bisa di buka mana ada saldonya lagi mau ke cabang jauh dan sibuk kerja parah banget sumpah malah nyusahin nasabah",1,1.3.8,sumpah parah bangettt   aku ga ada atm nya sering pake d bank pro buat transaksi pas di update malah ga bisa di buka mana ada saldonya lagi mau ke cabang jauh dan sibuk kerja parah banget sumpah malah nyusahin nasabah,"[{'label': 'negative', 'score': 0.9995198249816895}]",negative,0.9995198249816895
1115,Setelah upgrade ke versi terbaru malah apk tidak bisa dibuka dengan alasan pada perangkat yg sudah di jailbreak sgt mengecewakan,1,1.3.8,setelah upgrade ke versi terbaru malah apk tidak bisa dibuka dengan alasan pada perangkat yg sudah di jailbreak sgt mengecewakan,"[{'label': 'negative', 'score': 0.9973174929618835}]",negative,0.9973174929618835
1116,"Update mulu, heran",1,1.3.7,update mulu  heran,"[{'label': 'negative', 'score': 0.9990478157997131}]",negative,0.9990478157997131
1117,bagus,5,1.3.8,bagus,"[{'label': 'positive', 'score': 0.9980973601341248}]",positive,0.9980973601341248
1118,Ok,5,1.3.7,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342
1119,"Kenapa diperbarui, malah ga bsa dibuka aplikasi nya, hadehhh.. Gimana dong",3,,kenapa diperbarui  malah ga bsa dibuka aplikasi nya  hadehhh   gimana dong,"[{'label': 'negative', 'score': 0.9984560012817383}]",negative,0.9984560012817383
1120,"Gajelas banget setelah di update saya sudah verifikasi 3x gagal pulsa saya kesedot, makin kesini makin aneh nih Danamon, perbaiki lah yang bijak dikit, kesian para pengguna danamon pasti nyesel",1,,gajelas banget setelah di update saya sudah verifikasi  x gagal pulsa saya kesedot  makin kesini makin aneh nih danamon  perbaiki lah yang bijak dikit  kesian para pengguna danamon pasti nyesel,"[{'label': 'negative', 'score': 0.9993675351142883}]",negative,0.9993675351142883
1121,"Aplikasi tidak bisa di gunakan,mohon tolong di perbaiki LG aplikasi nya TKS",3,1.3.8,aplikasi tidak bisa di gunakan mohon tolong di perbaiki lg aplikasi nya tks,"[{'label': 'neutral', 'score': 0.9987637996673584}]",neutral,0.9987637996673584
1122,"Kenapa tidak bisa dibuka setelah di upgrade, katanya tidak bisa dibuka di hp jailbreak, maksudnya apa, transaksi sama sekali gak bisa... Padahal sebelumnya di upgrade baik2 aja...",1,1.3.8,kenapa tidak bisa dibuka setelah di upgrade  katanya tidak bisa dibuka di hp jailbreak  maksudnya apa  transaksi sama sekali gak bisa    padahal sebelumnya di upgrade baik  aja   ,"[{'label': 'neutral', 'score': 0.727625846862793}]",neutral,0.727625846862793
1123,Kenapa GK BS dibuka ..,1,1.3.8,kenapa gk bs dibuka   ,"[{'label': 'negative', 'score': 0.9937122464179993}]",negative,0.9937122464179993
1124,"Ayo bangkit danamon..... Aplikasinya cukup memilukan dari semua coment, aQ baru coba dan bener kata netizen, di improve dong",1,1.3.8,ayo bangkit danamon      aplikasinya cukup memilukan dari semua coment  aq baru coba dan bener kata netizen  di improve dong,"[{'label': 'positive', 'score': 0.7112935781478882}]",positive,0.7112935781478882
1125,Saya tetap kasih bintang 5 ..walau sulit,5,1.3.8,saya tetap kasih bintang     walau sulit,"[{'label': 'positive', 'score': 0.9916509985923767}]",positive,0.9916509985923767
1126,👍👍,5,1.3.7,  ,"[{'label': 'positive', 'score': 0.7525887489318848}]",positive,0.7525887489318848
1127,Kenapa aplkasi sering gk kebuka✨,4,,kenapa aplkasi sering gk kebuka ,"[{'label': 'negative', 'score': 0.9956209063529968}]",negative,0.9956209063529968
1128,Sayang systemnya sering trouble,5,1.3.7,sayang systemnya sering trouble,"[{'label': 'negative', 'score': 0.9963878393173218}]",negative,0.9963878393173218
1129,Keamanan bukannya semakin aman malah semakin mahal. apa-apa harus biaya dengan menggunakan aplikasi d bank pro ini. Sungguh menyusahkan nasabah dengan alasan keamanan nasabah.,1,1.3.8,keamanan bukannya semakin aman malah semakin mahal  apa apa harus biaya dengan menggunakan aplikasi d bank pro ini  sungguh menyusahkan nasabah dengan alasan keamanan nasabah ,"[{'label': 'negative', 'score': 0.9993896484375}]",negative,0.9993896484375
1130,Habis upgrade kenapa malah ga bisa masuk log out sendiri..,1,1.3.8,habis upgrade kenapa malah ga bisa masuk log out sendiri  ,"[{'label': 'negative', 'score': 0.9894744157791138}]",negative,0.9894744157791138
1131,App setelah update tdk dapat digunakan pada hp yg telah di root. Tolong solusi.,1,,app setelah update tdk dapat digunakan pada hp yg telah di root  tolong solusi ,"[{'label': 'neutral', 'score': 0.9786943197250366}]",neutral,0.9786943197250366
1132,Habis di update nggak bisa di pakai padahal paginya masih bisa di gunakan ada tulisan tidak dapat digunakan pada perangkat yg sudah di jailbreak / di root maksudnya apa ya perasaan nggak di apa apain,1,1.3.8,habis di update nggak bisa di pakai padahal paginya masih bisa di gunakan ada tulisan tidak dapat digunakan pada perangkat yg sudah di jailbreak   di root maksudnya apa ya perasaan nggak di apa apain,"[{'label': 'negative', 'score': 0.9121507406234741}]",negative,0.9121507406234741
1133,Sering sekali pembaharuan apk. Setiap bulan pembaharuan 🤦🏻,4,1.3.7,sering sekali pembaharuan apk  setiap bulan pembaharuan   ,"[{'label': 'neutral', 'score': 0.9910196661949158}]",neutral,0.9910196661949158
1134,Cuma sekali bisa digunakan aplikasi ini,3,1.3.8,cuma sekali bisa digunakan aplikasi ini,"[{'label': 'negative', 'score': 0.941481351852417}]",negative,0.941481351852417
1135,Busukkk,1,1.3.8,busukkk,"[{'label': 'positive', 'score': 0.9968417882919312}]",positive,0.9968417882919312
1136,Punyaku kok gaa bisa di buka yah gimana tiba tiba setelah pbaruan,5,1.3.8,punyaku kok gaa bisa di buka yah gimana tiba tiba setelah pbaruan,"[{'label': 'neutral', 'score': 0.5796234011650085}]",neutral,0.5796234011650085
1137,"Aplikasinya sih sudah bagus.. Tapi kenapa nominal top up e-wallet sekarang jadi 'pilihan', ga bisa ngetik nominal yg diperlukan.. tolong dong kembalikan seperti dlu lagi 🙏 Kalau ingin tetap dengan model 'pilihan' gini setidaknya sediakan kolom pilihan 'Nominal Lain'. Sehingga bisa memudahkan untuk mengisi e-wallet dgn jumlah nominal yg diinginkan. Karena mungkin ga semua orang mengisi nominal² yg tertera dalam sistem. Hanya nominal yg dibutuhkan saja.",1,1.3.8,aplikasinya sih sudah bagus   tapi kenapa nominal top up e wallet sekarang jadi 'pilihan'  ga bisa ngetik nominal yg diperlukan   tolong dong kembalikan seperti dlu lagi   kalau ingin tetap dengan model 'pilihan' gini setidaknya sediakan kolom pilihan 'nominal lain'  sehingga bisa memudahkan untuk mengisi e wallet dgn jumlah nominal yg diinginkan  karena mungkin ga semua orang mengisi nominal  yg tertera dalam sistem  hanya nominal yg dibutuhkan saja ,"[{'label': 'negative', 'score': 0.7243347764015198}]",negative,0.7243347764015198
1138,Habis diperbarui kenapa gak bisa dibuka,1,1.3.8,habis diperbarui kenapa gak bisa dibuka,"[{'label': 'negative', 'score': 0.9918244481086731}]",negative,0.9918244481086731
1139,Setelah diperbarui koq malah ngga bisa dibuka 😞😤,3,1.3.8,setelah diperbarui koq malah ngga bisa dibuka   ,"[{'label': 'negative', 'score': 0.6238502860069275}]",negative,0.6238502860069275
1140,Kenapa saya gak bisa login Kirim sms verifikasi gagal terus,3,,kenapa saya gak bisa login kirim sms verifikasi gagal terus,"[{'label': 'negative', 'score': 0.8636738061904907}]",negative,0.8636738061904907
1141,Kenapa aplikasi tdk bisa login...??,1,1.3.8,kenapa aplikasi tdk bisa login     ,"[{'label': 'negative', 'score': 0.5847587585449219}]",negative,0.5847587585449219
1142,"Sudah diupdate malah tidak bisa dibuka,dibilang perangkat jailbreak????kacau....",1,1.3.8,sudah diupdate malah tidak bisa dibuka dibilang perangkat jailbreak    kacau    ,"[{'label': 'negative', 'score': 0.9873993396759033}]",negative,0.9873993396759033
1143,Kenapa engak log ye.,5,1.3.8,kenapa engak log ye ,"[{'label': 'negative', 'score': 0.9987910389900208}]",negative,0.9987910389900208
1144,Update ko malah ga bisa dibuka aplikasi Nya.,2,1.3.8,update ko malah ga bisa dibuka aplikasi nya ,"[{'label': 'neutral', 'score': 0.582693338394165}]",neutral,0.582693338394165
1145,Knp stlh diupdate mlh ga bs dibuka ?,1,1.3.8,knp stlh diupdate mlh ga bs dibuka  ,"[{'label': 'neutral', 'score': 0.9917150139808655}]",neutral,0.9917150139808655
1146,Okk,5,1.3.7,okk,"[{'label': 'negative', 'score': 0.9986894726753235}]",negative,0.9986894726753235
1147,1. Sering perlu diupdate. 2. Tidak mudah menemukan menemukan menubtang diperlukan. 3. Rekening kosong malah di atas.,3,1.3.7,   sering perlu diupdate     tidak mudah menemukan menemukan menubtang diperlukan     rekening kosong malah di atas ,"[{'label': 'negative', 'score': 0.7338197827339172}]",negative,0.7338197827339172
1148,Di upgred bukan nya tambah mempermudah. Ini malah tambah mempersulit. Login ajah gak bisa trs. Payah saat nya ganti bank lain.,1,1.3.8,di upgred bukan nya tambah mempermudah  ini malah tambah mempersulit  login ajah gak bisa trs  payah saat nya ganti bank lain ,"[{'label': 'negative', 'score': 0.9994192123413086}]",negative,0.9994192123413086
1149,Dipaksa suruh update habis itu aplikasi yg baru g bisa di gunakan.,1,,dipaksa suruh update habis itu aplikasi yg baru g bisa di gunakan ,"[{'label': 'neutral', 'score': 0.9054483771324158}]",neutral,0.9054483771324158
1150,Setiap ada pembaharuan kok susah d buka 🤦🤦🤦,1,1.3.7,setiap ada pembaharuan kok susah d buka    ,"[{'label': 'neutral', 'score': 0.8148571252822876}]",neutral,0.8148571252822876
1151,Upgred ke persiterbaru jadi gak bisa di buka aplikasi danamonnya gimana solusinya,1,1.3.8,upgred ke persiterbaru jadi gak bisa di buka aplikasi danamonnya gimana solusinya,"[{'label': 'negative', 'score': 0.7463309168815613}]",negative,0.7463309168815613
1152,Keseringan update nih.....,3,1.3.8,keseringan update nih     ,"[{'label': 'negative', 'score': 0.9991229176521301}]",negative,0.9991229176521301
1153,Sangat membantu,5,1.3.8,sangat membantu,"[{'label': 'positive', 'score': 0.9959172606468201}]",positive,0.9959172606468201
1154,Ko gk bisa di buka,1,1.3.8,ko gk bisa di buka,"[{'label': 'negative', 'score': 0.8785985708236694}]",negative,0.8785985708236694
1155,saya tidak bisa lagi gunakan D bank pro. setelah baru saja update. muncul notif: applikasi tidak dapat digunakan pada perangkat yang sudah diroot. mohon solisi dan apa maksudnya ini???,1,1.3.8,saya tidak bisa lagi gunakan d bank pro  setelah baru saja update  muncul notif  applikasi tidak dapat digunakan pada perangkat yang sudah diroot  mohon solisi dan apa maksudnya ini   ,"[{'label': 'neutral', 'score': 0.9852956533432007}]",neutral,0.9852956533432007
1156,ok,5,1.3.7,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342
1157,"Habis di update malah nga bisa di buka sama sekali, hadeh..... Menghambat banget ini",1,1.3.8,habis di update malah nga bisa di buka sama sekali  hadeh      menghambat banget ini,"[{'label': 'negative', 'score': 0.9993367791175842}]",negative,0.9993367791175842
1158,Bagus transaksi yang... Bagus..pelayanannya... Sukses Danamon...,5,1.3.8,bagus transaksi yang    bagus  pelayanannya    sukses danamon   ,"[{'label': 'positive', 'score': 0.9982670545578003}]",positive,0.9982670545578003
1159,"Sebelum aplikasi d update fungsinya masih aman , setelah di update aplikasi malah tidak bisa di buka dan sekrang tidak bisa di gunakan😭 ,( D-Bank Tidak PRO )",1,1.3.8,sebelum aplikasi d update fungsinya masih aman   setelah di update aplikasi malah tidak bisa di buka dan sekrang tidak bisa di gunakan     d bank tidak pro  ,"[{'label': 'neutral', 'score': 0.9762742519378662}]",neutral,0.9762742519378662
1160,Aplikasi setelah diperbarui malah jadi gak bisa digunakan....payaaah....,1,1.3.8,aplikasi setelah diperbarui malah jadi gak bisa digunakan    payaaah    ,"[{'label': 'negative', 'score': 0.9805725812911987}]",negative,0.9805725812911987
